[4/6/2016 17:44:4] /waredron
[4/6/2016 17:44:9] /waredron go
[4/6/2016 17:45:6] /waredron go
[4/6/2016 17:46:27] /waredron go
[4/6/2016 17:49:35] /waredron go
[4/6/2016 17:52:35] /waredron go
[4/6/2016 17:54:58] /waredron go
[4/6/2016 17:57:10] /waredron go
[4/6/2016 18:0:14] /waredron go
[4/6/2016 18:1:53] /waredron go
[4/6/2016 18:2:50] /waredron go
[4/6/2016 18:3:47] /waredron go
[4/6/2016 18:6:44] /waredron go
[4/6/2016 18:7:9] /waredron go
[4/6/2016 18:7:21] /waredron go
[4/6/2016 18:7:32] /waredron go
