[1/6/2016 21:13:13] /waredron accept, guildcontra
[1/6/2016 21:14:45] /waredron accept, guildcontra
[1/6/2016 21:14:50] /waredron accept, guildcontra
[1/6/2016 21:14:59] /waredron accept, guildcontra
[1/6/2016 21:15:1] /waredron accept, guildcontra
[1/6/2016 21:17:47] /waredron accept, Family Guy
[1/6/2016 21:17:53] /waredron accept, Family Guy
[1/6/2016 21:17:57] /waredron accept,Family Guy
[1/6/2016 21:17:59] /waredron accept,Family Guy
[1/6/2016 21:18:8] /waredron accept,Family Guy
[1/6/2016 21:18:20] /waredron go
[1/6/2016 21:20:54] /waredron accept,Family Guy
